Maindomain;Subdomain;System;Businesslogic;Owned Datacategory;Owned Entity;Owned Attributes;Ownership-Exceptions;References;Remarks;Source
Businesssystems;Customer;CCD;;Personal Data;all;all;no;;;
Businesssystems;Customer;CCD;;Addresses;all;all;no;;;
Businesssystems;Customer;CCD;;Contactinformation;all;"E-Mail, 
Phonenumber";no;;;
Businesssystems;Customer;CCD;;Contact ;;;;;;
Businesssystems;Customer;CCD;;Companydata;all;all;no;;;
Businesssystems;Customer;CCD;;Taxdata;all;all;no;;;
Businesssystems;Customer;CCD;;Scoring Results;all;all;no;;;
Businesssystems;Customer;CCD;;payment methods;bank collection Germany;all;no;;;
Businesssystems;Customer;CCD;;OptIn/OptOut;all;all;no;;;
Businesssystems;Customer;CCD;Addresscheck;;;;;;;
Businesssystems;Customer;CCD;History;;;;;;;
Businesssystems;Customer;CCD;"Decisionlogic/Maintenance
 OptIn/Optout";;;;;;;
Businesssystems;Customer;CCD;SPAM-Sync;;;;;;;
Businesssystems;Customer;CCD;Migrane-Sync;;;;;Person, Kunde;;
Businesssystems;Customer;IPayment ;;payment methods;"creditcard-info
Adresses
paypal-ID?";all;bank collection germany;"customerID?
Address?";;
Businesssystems;Customer;IPayment ;blacklist;;;;;"customer
sap-customer
country (globals?)";;
Businesssystems;Customer;IPayment ;chargebacks;;;;;"customer
SAP-invoiceID";;
Businesssystems;Customer;IPayment ;clearing;;;;;;;
Businesssystems;Customer;IPayment ;en/decryption;;;;;;;
Businesssystems;Customer;IPayment ;Frauddetection, online-offline;;;;;;;
Businesssystems;Customer;IPayment ;KVK;;;;;"customer
Contract
country
mandator (market?)";;
Businesssystems;Customer;IPayment ;creditcard-reminder;;;;;;;
Businesssystems;Customer;IPayment ;;blacklist;;;;;;
Businesssystems;Customer;IPayment ;;payment-fraud-rules;;"IP
Country
paymenttypes";;;;
Businesssystems;Billing/Rating/Charging;dito;;Tax;;;;;;
Businesssystems;Billing/Rating/Charging;dito;;Receipt;;;;;;
Businesssystems;Billing/Rating/Charging;dito;;Invoice;;;;;;
Businesssystems;Billing/Rating/Charging;dito;;Cancellation Invoice;;;;;;
Businesssystems;Billing/Rating/Charging;dito;;Credit Free Contingent;;;;;;
Businesssystems;Billing/Rating/Charging;dito;;Invoice Line Item;;;;;;
Businesssystems;Billing/Rating/Charging;dito;;Billing Account;;;;;;
Businesssystems;Billing/Rating/Charging;dito;;Sales Information;;;;;;
Businesssystems;Billing/Rating/Charging;dito;;;;;;Customer;;
Businesssystems;Billing/Rating/Charging;dito;;;;;;Contract;;
Businesssystems;Billing/Rating/Charging;dito;;;;;;CDR;;
Businesssystems;Billing/Rating/Charging;dito;bisman, CDR: Matching, Rating, Billing;;;;;;;
Businesssystems;Billing/Rating/Charging;dito;CuBi, Customer Billing;;;;;CCD, SaCos, SPAM;;
Businesssystems;Billing/Rating/Charging;dito;FBI;;;;;SAP;;
Businesssystems;Contract;Comet;;Contract Header;"Time/Dates, Duration
Locks,
State (Order) Billable,
Contractpartner";;;"Offer, 
Order, 
Billing Account,
Customer,
Shipment,
Sales Information, 
Mediator,
Deposit(s)";;
Businesssystems;Contract;Comet;;Contract Item Group;;;;"Offer,
Order
Salesvariation";;
Businesssystems;Contract;Comet;;Contract Item;"Locks, State, Duration,
Individual Credit,
Free Charge Variation";;;"Offercomponent,
Provisioning ID/ServiceID,
Sales Variation,
Fee,
Discountlist,
Order, OrderItem";;
Businesssystems;Contract;Comet;;ContractItemAttributes;;;;"CDR, Phonenr, Domainname,
Email-Address";;
Businesssystems;Contract;Comet;;;;;;General Terms and Conditions;;
Businesssystems;Contract;Comet;Contract History;;;;;;;
Businesssystems;Contract;Comet;SPAM-Sync;;;;;;;
Businesssystems;Contract;Comet;Migrane-Sync;;;;;"Techauftrag,
Auftragmatrix";;
Businesssystems;Customer;CCS;;Distributionchannels;Channels, Exclusions, Fallbacks;all;;;;
Businesssystems;Customer;CCS;Preparation of Documents;;;;Dunning Letters (SAP);;;
Businesssystems;Customer;CCS;"Enrichment of 
Domaindata";;;;Enrichment of Processdata;;;
Businesssystems;Customer;Fraud;Frauddetection;;;;;;;
Businesssystems;Customer;OMS;Sending of Documents;;;;;;;
Businesssystems;Logistics;dito;Accept Shipping Item;;;;;;;
